url,vulnerability,details
https://www.instagram.com/wix,SQL Injection,
https://www.instagram.com/wix,Open Redirect,
https://www.instagram.com/wix,Directory Traversal,
https://www.instagram.com/wix,Unvalidated Redirects and Forwards,
https://www.linkedin.com/company/wix-com,CSRF,
https://www.facebook.com/wix,SQL Injection,
https://www.facebook.com/wix,Open Redirect,
https://www.facebook.com/wix,CSRF,
https://www.facebook.com/wix,Unvalidated Redirects and Forwards,
https://www.forzorasa.com/post/ÇÓÊßÔİ-ÚÇáã-ÇáÃáÚÇÈ-ÇáÔí-Ş-ãÚ-forzora,SQL Injection,
https://www.forzorasa.com/post/ÇÓÊßÔİ-ÚÇáã-ÇáÃáÚÇÈ-ÇáÔí-Ş-ãÚ-forzora,Command Injection,
https://www.forzorasa.com/post/ÇÓÊßÔİ-ÚÇáã-ÇáÃáÚÇÈ-ÇáÔí-Ş-ãÚ-forzora,Open Redirect,
https://www.forzorasa.com/post/ÇÓÊßÔİ-ÚÇáã-ÇáÃáÚÇÈ-ÇáÔí-Ş-ãÚ-forzora,Directory Traversal,
https://www.forzorasa.com/post/ÇÓÊßÔİ-ÚÇáã-ÇáÃáÚÇÈ-ÇáÔí-Ş-ãÚ-forzora,Unvalidated Redirects and Forwards,
https://www.forzorasa.com/groups,SQL Injection,
https://www.forzorasa.com/groups,Open Redirect,
https://www.forzorasa.com/groups,Directory Traversal,
https://www.forzorasa.com/groups,Unvalidated Redirects and Forwards,
https://www.forzorasa.com/post/unknown-journey-ßíİ-ÊÕÈÍ-ÌÒÁ-Ç-ãä-forzora-s-global-gaming-community,SQL Injection,
https://www.forzorasa.com/post/unknown-journey-ßíİ-ÊÕÈÍ-ÌÒÁ-Ç-ãä-forzora-s-global-gaming-community,Open Redirect,
https://www.forzorasa.com/post/unknown-journey-ßíİ-ÊÕÈÍ-ÌÒÁ-Ç-ãä-forzora-s-global-gaming-community,Directory Traversal,
https://www.forzorasa.com/post/unknown-journey-ßíİ-ÊÕÈÍ-ÌÒÁ-Ç-ãä-forzora-s-global-gaming-community,Unvalidated Redirects and Forwards,
https://www.forzorasa.com/post/ÊÕİÍ-ãÊÌÑ-ÇáÓíÑİÑ-æÇÍÕá-Úáì-ÃÍÏË-ÇáÃÎÈÇÑ,SQL Injection,
https://www.forzorasa.com/post/ÊÕİÍ-ãÊÌÑ-ÇáÓíÑİÑ-æÇÍÕá-Úáì-ÃÍÏË-ÇáÃÎÈÇÑ,Command Injection,
https://www.forzorasa.com/post/ÊÕİÍ-ãÊÌÑ-ÇáÓíÑİÑ-æÇÍÕá-Úáì-ÃÍÏË-ÇáÃÎÈÇÑ,Open Redirect,
https://www.forzorasa.com/post/ÊÕİÍ-ãÊÌÑ-ÇáÓíÑİÑ-æÇÍÕá-Úáì-ÃÍÏË-ÇáÃÎÈÇÑ,Directory Traversal,
https://www.forzorasa.com/post/ÊÕİÍ-ãÊÌÑ-ÇáÓíÑİÑ-æÇÍÕá-Úáì-ÃÍÏË-ÇáÃÎÈÇÑ,Unvalidated Redirects and Forwards,
https://www.twitter.com/wix,SQL Injection,
https://www.twitter.com/wix,CSRF,
